date,REAINTRATREARAT1YE,CPIAUCSL_PC1,SPASTT01USM661N,FEDFUNDS,OT
1982-01-01,4.34358480,8.25688,6.7250869999999994,13.22,384.163
1982-02-01,6.70684300,7.61364,6.5522950000000000,14.78,374.458
1982-03-01,7.67323810,6.88488,6.3243609999999997,14.68,330.413
1982-04-01,8.16635540,6.62177,6.6316160000000002,14.94,350.335
1982-05-01,8.26540550,6.91193,6.6416520000000006,14.45,334.505
1982-06-01,9.28602170,7.18232,6.2487050000000002,14.15,314.961
1982-07-01,7.45154700,6.55738,6.2212050000000003,12.59,337.895
1982-08-01,5.67198710,5.96529,6.2300209999999998,10.12,363.413
1982-09-01,3.30248340,4.94092,6.9526159999999999,10.31,438.150
1982-10-01,4.62968240,5.03212,7.5364800000000001,9.71,422.786
1982-11-01,5.75723950,4.47761,7.8973330000000015,9.20,415.114
1982-12-01,5.34963530,3.82572,7.9516689999999999,8.95,444.776
1983-01-01,4.69918930,3.70763,8.2444179999999996,8.68,481.838
1983-02-01,4.86952160,3.48469,8.3916620000000002,8.51,493.488
1983-03-01,5.30381690,3.59029,8.6655800000000003,8.77,420.707
1983-04-01,5.08796580,4.00000,8.9728320000000004,8.80,433.171
1983-05-01,5.29803120,3.44108,9.3691540000000000,8.63,437.393
1983-06-01,5.96062350,2.47423,9.5490469999999998,8.98,413.148
1983-07-01,4.72544950,2.35897,9.5804899999999993,9.37,422.645
1983-08-01,5.73898110,2.45650,9.3051139999999997,9.56,416.205
1983-09-01,5.47291380,2.76356,9.5762000000000000,9.45,412.245
1983-10-01,4.92586040,2.75229,9.5845839999999995,9.48,394.245
1983-11-01,4.61756170,3.16327,9.4484420000000000,9.34,381.016
1983-12-01,4.45117330,3.78710,9.4001459999999994,9.47,388.060
1984-01-01,5.35483190,4.29009,9.5318509999999996,9.56,370.735
1984-02-01,5.20461540,4.69388,8.9725409999999997,9.59,386.038
1984-03-01,5.60234410,4.89297,8.9782270000000004,9.91,394.743
1984-04-01,5.36433260,4.55466,8.9787230000000005,10.29,381.371
1984-05-01,5.37024530,4.33468,8.9197419999999994,10.32,376.957
1984-06-01,5.37616630,4.32596,8.7428670000000004,11.06,378.314
1984-07-01,6.29498690,4.30862,8.6250859999999996,11.23,347.598
1984-08-01,6.06695610,4.29570,9.3177690000000002,11.64,347.677
1984-09-01,6.43406740,4.28287,9.4758890000000005,11.30,340.945
1984-10-01,6.86463640,4.26587,9.4167079999999999,9.99,340.217
1984-11-01,6.38209390,4.15430,9.4987949999999994,9.43,341.286
1984-12-01,5.75477110,4.04339,9.3827789999999993,8.38,319.622
1985-01-01,5.13621670,3.52595,9.8151659999999996,8.35,302.852
1985-02-01,4.79282600,3.60624,10.3715399999999995,8.50,299.833
1985-03-01,4.54149360,3.79009,10.2914200000000005,8.58,303.205
1985-04-01,5.71717960,3.58180,10.3645600000000009,8.27,324.883
1985-05-01,4.98950490,3.57488,10.5965199999999999,7.97,316.395
1985-06-01,3.52091030,3.66442,10.8475800000000007,7.53,316.298
1985-07-01,4.46017150,3.45821,11.0560700000000001,7.88,317.202
1985-08-01,4.25833670,3.35249,10.8029100000000007,7.90,330.131
1985-09-01,4.11774730,3.24737,10.5584199999999999,7.92,323.764
1985-10-01,4.08268070,3.23501,10.6528299999999998,7.99,326.093
1985-11-01,4.20825250,3.51377,11.2827800000000007,8.05,325.548
1985-12-01,4.45881810,3.79147,11.8169199999999996,8.27,321.985
1986-01-01,4.29488410,3.97351,11.8988999999999994,8.14,345.561
1986-02-01,4.48317660,3.19849,12.5199999999999996,7.86,339.053
1986-03-01,5.31592260,2.15356,13.2667000000000002,7.48,346.095
1986-04-01,5.11601550,1.58879,13.5939899999999998,6.99,340.716
1986-05-01,4.96674130,1.67910,13.6032899999999994,6.85,342.325
1986-06-01,4.49154240,1.76744,13.9449500000000004,6.92,342.798
1986-07-01,3.50493680,1.67131,13.6976700000000005,6.56,348.554
1986-08-01,3.35509850,1.57553,13.9549000000000003,6.17,376.290
1986-09-01,2.99641290,1.75763,13.5734399999999997,5.89,418.152
1986-10-01,2.76604470,1.56682,13.5414600000000007,5.85,423.863
1986-11-01,2.69176570,1.28440,13.9478100000000005,6.04,396.983
1986-12-01,2.41788070,1.18721,14.0740400000000001,6.91,391.595
1987-01-01,2.48413290,1.36488,14.9706799999999980,6.43,408.524
1987-02-01,2.28603990,1.91431,15.8681800000000006,6.10,401.045
1987-03-01,3.29241540,2.84143,16.4820600000000006,6.13,408.848
1987-04-01,2.50409520,3.67985,16.2288399999999982,6.37,439.665
1987-05-01,2.10890030,3.66972,16.1423200000000016,6.85,461.650
1987-06-01,2.85414650,3.74771,16.7935100000000013,6.73,449.282
1987-07-01,2.26998560,3.92694,17.2594799999999999,6.58,450.330
1987-08-01,2.57361290,4.28832,18.2398600000000002,6.73,460.988
1987-09-01,2.37821020,4.27273,17.6703399999999995,7.22,460.120
1987-10-01,3.65368380,4.35572,15.5606299999999980,7.29,465.764
1987-11-01,3.43400670,4.52899,13.5880100000000006,6.69,468.140
1987-12-01,2.41275040,4.33213,13.3574999999999999,6.77,487.079
1988-01-01,2.47168430,4.12926,13.9183400000000006,6.83,477.758
1988-02-01,2.85749320,3.93560,14.3727300000000007,6.58,442.124
1988-03-01,2.69979000,3.83244,14.8425100000000008,6.58,443.491
1988-04-01,2.80511640,3.99290,14.7018699999999995,6.87,451.558
1988-05-01,2.90784510,3.98230,14.3585299999999982,7.09,451.320
1988-06-01,3.12711250,3.96476,15.1244399999999999,7.51,451.657
1988-07-01,2.51976500,4.13005,15.0643700000000020,7.75,437.452
1988-08-01,3.23874260,4.11199,14.7806499999999996,8.01,431.064
1988-09-01,3.35833630,4.18483,15.0006100000000000,8.19,413.439
1988-10-01,3.11955320,4.26087,15.4846900000000005,8.30,406.390
1988-11-01,3.04382550,4.24610,15.1194100000000002,8.35,419.966
1988-12-01,3.27055190,4.41176,15.3843899999999998,8.76,419.248
1989-01-01,3.25220860,4.48276,15.8849199999999993,9.12,404.445
1989-02-01,3.41076590,4.64716,16.3477999999999994,9.36,387.973
1989-03-01,3.46650770,4.89270,16.3005600000000008,9.85,390.274
